,64B,16B,% change (16B vs 64B),rel change (16B vs 64B)
OSSL_CMP_log_close,223333,221336,-0.8941804390752822,-1997
ERR_get_error_all,198081,196083,-1.0086782679812805,-1998
_kernelrpc_mach_port_deallocate_trap,371378,369378,-0.5385348620542951,-2000
aria_192_gcm_get_params,239706,237705,-0.8347725964306276,-2001
OSSL_PARAM_get_int32,332503,330498,-0.6030020781767382,-2005
ossl_prov_is_running,839666,837633,-0.24212008107985794,-2033
camellia_192_ecb_get_params,256497,254458,-0.7949410714355334,-2039
aes_128_ccm_get_params,236751,234707,-0.8633543258529003,-2044
BIO_get_data,746905,744836,-0.27700979374887036,-2069
aria_128_ecb_get_params,233908,231838,-0.8849633189117089,-2070
EVP_camellia_192_cfb1,169751,167671,-1.225324151256841,-2080
BIO_set_data,307078,304996,-0.6780036342557917,-2082
